,Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
16282,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/ixelles/1050/8554598,1350000,Maison,False,False,False,1050,Ixelles,Bien exceptionnel,2.0,Excellent état,450.0,5.0,Hyper équipée,False,False,True,150.0,True,18.0,None,False,550.0
16283,https://www.immoweb.be/fr/annonce/villa/a-vendre/uccle/1180/8771528,1380000,Maison,False,False,False,1180,Uccle,Villa,4.0,None,380.0,5.0,Équipée,False,False,False,None,True,26.0,700.0,False,None
16284,https://www.immoweb.be/fr/annonce/villa/a-vendre/evergem/9940/8065995,1780000,Maison,False,False,False,9940,Evergem,Villa,4.0,Bon,585.0,5.0,None,False,False,False,None,False,None,80000.0,False,None
16285,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/uccle/1180/7093420,3400000,Maison,False,False,False,1180,Uccle,Bien exceptionnel,3.0,Excellent état,487.0,5.0,Hyper équipée,False,False,False,None,True,None,None,False,None
16286,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-heist/8300/8727908,3500000,Maison,False,False,False,8300,Knokke-Heist,Villa,4.0,None,232.0,4.0,None,False,False,False,None,True,None,1742.0,False,None
16287,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-zoute/8300/8484503,3850000,Maison,False,False,False,8300,Knokke-Zoute,Villa,None,None,None,5.0,None,False,False,False,None,False,None,267.0,False,None
16288,https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-heist-knokke/8300/8688033,4400000,Maison,False,False,False,8300,Knokke-Heist Knokke,Maison,4.0,Excellent état,657.0,6.0,None,False,True,False,None,True,None,6000.0,False,None
16289,https://www.immoweb.be/fr/annonce/maison/a-vendre/seraing/4102/8903824,20000,Maison,True,False,False,4102,Seraing,Maison,3.0,À rénover,None,1.0,None,False,False,False,None,False,None,50.0,False,None
16290,https://www.immoweb.be/fr/annonce/maison/a-vendre/obourg/7034/8899001,50000,Maison,True,False,False,7034,Obourg,Maison,3.0,À rénover,None,2.0,None,False,False,False,None,False,None,502.0,False,None
16291,https://www.immoweb.be/fr/annonce/maison/a-vendre/bernissart/7320/8900828,50000,Maison,True,False,False,7320,Bernissart,Maison,4.0,À rénover,None,3.0,None,False,False,False,None,False,None,1050.0,False,None
16292,https://www.immoweb.be/fr/annonce/maison/a-vendre/ham-sur-sambre/5190/8821694,65000,Maison,False,False,False,5190,Ham-sur-Sambre,Maison,3.0,None,142.0,4.0,None,False,False,False,None,False,None,205.0,False,None
16293,https://www.immoweb.be/fr/annonce/maison/a-vendre/marchienne-au-pont/6030/8860261,65000,Maison,False,False,False,6030,Marchienne-au-Pont,Maison,2.0,None,119.0,2.0,None,False,False,False,None,True,None,None,False,None
16294,https://www.immoweb.be/fr/annonce/bungalow/a-vendre/gedinne-rienne/5575/8919476,89000,Maison,False,False,False,5575,Gedinne Rienne,Bungalow,4.0,À rénover,37.0,2.0,None,False,False,True,2300.0,True,10.0,2412.0,False,None
16295,https://www.immoweb.be/fr/annonce/maison/a-vendre/bouffioulx/6200/8883470,89900,Maison,False,False,False,6200,Bouffioulx,Maison,2.0,None,200.0,5.0,Semi-équipée,False,False,True,None,False,None,100.0,False,None
16296,https://www.immoweb.be/fr/annonce/maison/a-vendre/longvilly/6600/8907740,100000,Maison,True,False,False,6600,Longvilly,Maison,4.0,None,None,3.0,None,False,False,False,None,False,None,678.0,False,None
16297,https://www.immoweb.be/fr/annonce/maison/a-vendre/willebroek/2830/8873464,120000,Maison,True,False,False,2830,Willebroek,Maison,2.0,À rafraîchir,142.0,2.0,None,False,False,False,None,True,None,116.0,False,None
