,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
16252,2900,219000,1,76,0,1,0,Schoten,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.112322197875105
16253,2900,224000,2,77,0,1,0,Schoten,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.112322197875105
16254,2900,224000,1,76,0,1,0,Schoten,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.112322197875105
16255,2900,225000,2,77,0,1,0,Schoten,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.112322197875105
16256,1120,229000,2,80,1,1,1,Bruxelles,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.5814149362447845
16257,1120,229000,2,80,1,1,1,Brussel,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.5814149362447845
16258,1930,208000,2,76,1,0,1,Zaventem,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.612727828309232
16259,2650,229000,3,115,1,1,1,Edegem,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.214030543869453
16260,1190,215000,1,78,1,0,1,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16261,1190,215000,1,78,1,0,1,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16262,9880,220000,2,97,1,0,1,Aalter,Gent,flandre-orientale,1.0,flandre,0.0,10.0,-2.098862169304426
16263,7521,230000,2,93,0,1,1,Tournai,Tournai et Mouscron,hainaut,6.0,wallonie,1.0,6.0,-1.9648941690841963
16264,4630,239000,2,97,0,1,1,Soumagne,Liège,liege,4.0,wallonie,1.0,3.0,-2.6133575280061447
16265,8434,250000,2,59,0,1,1,Middelkerke,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-1.6220992740064766
16266,1410,249500,1,51,1,0,1,Waterloo,Nivelles,brabant-wallon,8.0,wallonie,1.0,4.0,-3.331157502710062
16267,8400,215000,2,78,1,1,1,Oostende,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-2.501555833872851
16268,4000,219000,2,96,1,1,1,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
16269,8400,229000,2,55,1,0,1,Oostende,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-2.501555833872851
16270,7000,230000,4,184,1,1,0,Mons,Mons,hainaut,6.0,wallonie,1.0,11.0,-2.2921898083274823
16271,8550,249000,2,99,1,1,1,Zwevegem,Courtrai,flandre-occidentale,0.0,flandre,0.0,25.0,-2.2888932328767595
16272,9470,250000,3,106,1,1,1,Denderleeuw,Aalst,flandre-orientale,1.0,flandre,0.0,13.0,-2.9025385517610043
